ID,Section,Testcase name,Sub-case,Pre-condition,Step,Expected output,Priority,Test Data
TC_046,- / BR-008,[SAFETY] AI không chẩn đoán,Compliance,"1. HbA1c ngoài ngưỡng","1. Xem nhận xét AI","1.1. KHÔNG có text ""Bạn bị tiểu đường""",High,"TD_081: HbA1c 7.2% ngoài ngưỡng"
TC_047,- / BR-008,[SAFETY] AI Comment không chẩn đoán,Compliance,"1. HbA1c = 8.0%","1. Xem AI comment","1.1. Chỉ nêu facts, không chẩn đoán",High,"TD_092: HbA1c 8.0%, Cần chú ý"
TC_048,KB-2 / BR-002,[FUNC] AI Comment - Cải thiện,AI content,"1. HbA1c cải thiện","1. Xem AI comment","1.1. ""Chỉ số đã cải thiện so với lần khám trước""",Medium,"TD_090: HbA1c 6.8% từ 7.5%"
TC_049,KB-2 / BR-002,[FUNC] AI Comment - Cần chú ý,AI content,"1. HbA1c ngoài ngưỡng","1. Xem AI comment","1.1. ""Chỉ số ngoài ngưỡng mục tiêu, cần theo dõi""",Medium,"TD_091: HbA1c 7.2% ngoài ngưỡng"
TC_050,- / BR-010,[FUNC] TTS thành công,Online,"1. Có kết nối mạng","1. Nhấn icon 🔊","1.1. Phát âm thanh đọc nội dung section",Medium,"TD_042: Online, có kết nối"
TC_051,- / BR-010,[ERR] TTS offline,Offline,"1. Không có kết nối","1. Nhấn icon 🔊","1.1. Hiển thị: ""TTS cần kết nối mạng""",Medium,"TD_041: Offline, không kết nối"
TC_052,KB-5 / BR-006,[FUNC] Icon 💬 với Cần chú ý,Icon,"1. Chỉ số ""Cần chú ý""","1. Xem card","1.1. Icon 💬 hiển thị bên cạnh chỉ số",High,"TD_050: HbA1c 7.2%, Cần chú ý"
TC_053,KB-5 / BR-006,[FUNC] Icon 💬 KHÔNG với Cải thiện,Icon,"1. Chỉ số ""Cải thiện""","1. Xem card","1.1. KHÔNG có icon 💬",High,"TD_051: HbA1c 6.5%, Cải thiện"
TC_054,KB-5 / BR-006,[FUNC] Icon 💬 KHÔNG với Duy trì,Icon,"1. Chỉ số ""Duy trì""","1. Xem card","1.1. KHÔNG có icon 💬",High,"TD_002: HbA1c 6.5%, Duy trì tốt"
TC_055,KB-5 / BR-006,[FUNC] Nhấn icon 💬 → Chat,Context,"1. Chỉ số ""Cần chú ý""","1. Nhấn icon 💬","1.1. Mở Chat Kolia; 1.2. Context: Chỉ số=HbA1c, Giá trị=7.2%, Ngưỡng=<7%",High,"TD_052: AST 45 U/L, Cần chú ý"
TC_056,KB-5 / BR-006,[FUNC] 3+ chỉ số "Cần chú ý",Multiple,"1. 3 chỉ số Cần chú ý","1. Xem cards","1.1. 3 icons 💬 hiển thị; 1.2. Mỗi icon mở chat với context riêng",Medium,"TD_138: 3 chỉ số Cần chú ý"
TC_057,KB-8 / BR-014,[EDGE] Upload lại khi đang AI,Concurrent,"1. AI đang phân tích","1. Upload thêm ảnh","1.1. Không crash; 1.2. Thông báo rõ ràng",Low,"TD_135: AI đang processing"
TC_058,KB-1 / BR-001,[UI] Back navigation khi xem kết quả,User journey,"1. Đang xem màn hình Kết quả","1. Nhấn nút Back","1.1. Quay về màn Upload; 1.2. Data không mất",Medium,"TD_141: Đang xem kết quả"
TC_059,KB-1 / BR-001,[UI] Pull-to-refresh khi đang hiển thị,User journey,"1. Đang xem màn hình Kết quả","1. Pull to refresh","1.1. Refresh không reset data; 1.2. Hoặc confirm trước khi refresh",Low,"TD_142: Đang xem kết quả"
TC_060,KB-2 / BR-002,[DATA] Chỉ số có giá trị = 0,Data edge,"1. Phiếu XN có WBC = 0","1. Xem card chỉ số","1.1. Hiển thị ""0"" (không ẩn); 1.2. Classification xử lý đúng",Medium,"TD_143: WBC = 0"
