TC_ID,Section,Module,Feature,TestCase_Name,Priority,Precondition,Test_Steps,Expected_Result,Test_Data,SRS_Ref,Status
TC_HA_018,Event,Bao_Cao,Bieu_do_HA,Tương quan Stress (0-45p),High,"User U07 có event stress và BP đo trong 0-45p sau","1. Login với user U07
2. Vào Báo cáo > Báo cáo định kỳ > Tuần
3. Kiểm tra phần Tương quan Sự kiện","Hiển thị: ""HA tăng ngay sau stress trong 0-45 phút""",TD_Bao_Cao.md - U07,BR-006,Ready
TC_HA_019,Event,Bao_Cao,Bieu_do_HA,Tương quan Caffeine (30p-2h),Medium,"User U07 có event uống caffeine và BP tăng trong 30p-2h","1. Login với user U07
2. Vào Báo cáo > Báo cáo định kỳ > Tuần
3. Kiểm tra phần Tương quan Sự kiện","Hiển thị: ""HA tăng trong 30p-2h sau caffeine""",TD_Bao_Cao.md - U07,BR-006,Ready
TC_HA_020,Event,Bao_Cao,Bieu_do_HA,Tương quan Rượu (12-24h),Medium,"User U07 có event uống rượu và BP tăng ngày hôm sau","1. Login với user U07
2. Vào Báo cáo > Báo cáo định kỳ > Tuần
3. Kiểm tra phần Tương quan Sự kiện","Hiển thị: ""HA tăng 12-24h sau uống rượu (phản ứng dội ngược)""",TD_Bao_Cao.md - U07,BR-006,Ready
TC_HA_021,Event,Bao_Cao,Bieu_do_HA,Tương quan Vận động (30p-2h),Medium,"User U06 có event vận động và BP giảm sau 30p-2h","1. Login với user U06
2. Vào Báo cáo > Báo cáo định kỳ > Tuần
3. Kiểm tra phần Tương quan Sự kiện","Hiển thị: ""HA giảm nhẹ 30p-2h sau vận động (hiệu ứng hạ áp sau tập)""",TD_Bao_Cao.md - U06,BR-006,Ready
TC_HA_022,Event,Bao_Cao,Bieu_do_HA,Tương quan Ăn mặn (12-24h),Medium,"User U05 có event ăn mặn và BP tăng sáng hôm sau","1. Login với user U05
2. Vào Báo cáo > Báo cáo định kỳ > Tuần
3. Kiểm tra phần Tương quan Sự kiện","Hiển thị: ""HA tăng 12-24h sau ăn mặn (tác động giữ nước)""",TD_Bao_Cao.md - U05,BR-006,Ready
TC_HA_023,Edge_Case,Bao_Cao,Bieu_do_HA,Empty State - Không có dữ liệu,High,"User U10 không có BP data nào trong kỳ báo cáo","1. Login với user U10
2. Vào Báo cáo > Báo cáo định kỳ > Tuần
3. Kiểm tra hiển thị báo cáo","Hiển thị: ""Không có đủ dữ liệu để tạo biểu đồ"" và các chỉ số hiển thị ""--""",TD_Bao_Cao.md - U10,BR-007,Ready
TC_HA_024,Edge_Case,Bao_Cao,Bieu_do_HA,Ẩn nhận xét khi <2 lần đo/ngày,Medium,"User U11 có <2 lần đo mỗi ngày (chỉ 1 lần/ngày)","1. Login với user U11
2. Vào Báo cáo > Báo cáo định kỳ > Tuần
3. Kiểm tra phần Nhận xét chuyên sâu","Ẩn các nhận xét chuyên sâu (ARV, MEdiff). Hiển thị thông báo hướng dẫn",TD_Bao_Cao.md - U11,BR-006,Ready
TC_HA_025,Edge_Case,Bao_Cao,Bieu_do_HA,High Frequency - 10 lần đo/ngày,Medium,"User U14 có 10 lần đo mỗi ngày","1. Login với user U14
2. Vào Báo cáo > Báo cáo định kỳ > Tuần
3. Kiểm tra biểu đồ và nhận xét","Biểu đồ hiển thị đầy đủ 10 điểm dữ liệu. Nhận xét được tính toán chính xác.",TD_Bao_Cao.md - U14,BR-006,Ready
TC_HA_026,Xu_Huong,Bao_Cao,Bieu_do_HA,Xu hướng TĂNG vs tuần trước,High,"User U15 có SYS tuần này cao hơn tuần trước +5 mmHg","1. Login với user U15
2. Vào Báo cáo > Báo cáo định kỳ > Tuần
3. Kiểm tra phần Xu hướng HA","Hiển thị: ""So với tuần trước, HA có xu hướng TĂNG +5 mmHg""",TD_Bao_Cao.md - U15,BR-005,Ready
TC_HA_027,Xu_Huong,Bao_Cao,Bieu_do_HA,Xu hướng GIẢM vs tháng trước,High,"User U16 có SYS tháng này thấp hơn tháng trước -12 mmHg","1. Login với user U16
2. Vào Báo cáo > Báo cáo định kỳ > Tháng
3. Kiểm tra phần Xu hướng HA","Hiển thị: ""So với tháng trước, HA có xu hướng GIẢM -12 mmHg (cải thiện tốt)""",TD_Bao_Cao.md - U16,BR-005,Ready
